,fold,classID,filename
0,5,3,/content/spectograms/3/100032-3-0-0.png
1,5,2,/content/spectograms/2/100263-2-0-117.png
2,5,2,/content/spectograms/2/100263-2-0-121.png
3,5,2,/content/spectograms/2/100263-2-0-126.png
4,5,2,/content/spectograms/2/100263-2-0-137.png
5,5,2,/content/spectograms/2/100263-2-0-143.png
6,5,2,/content/spectograms/2/100263-2-0-161.png
7,5,2,/content/spectograms/2/100263-2-0-3.png
8,5,2,/content/spectograms/2/100263-2-0-36.png
9,10,1,/content/spectograms/1/100648-1-0-0.png
10,10,1,/content/spectograms/1/100648-1-1-0.png
11,10,1,/content/spectograms/1/100648-1-2-0.png
12,10,1,/content/spectograms/1/100648-1-3-0.png
13,10,1,/content/spectograms/1/100648-1-4-0.png
14,2,3,/content/spectograms/3/100652-3-0-0.png
15,2,3,/content/spectograms/3/100652-3-0-1.png
16,2,3,/content/spectograms/3/100652-3-0-2.png
17,2,3,/content/spectograms/3/100652-3-0-3.png
18,10,3,/content/spectograms/3/100795-3-0-0.png
19,10,3,/content/spectograms/3/100795-3-1-0.png
20,10,3,/content/spectograms/3/100795-3-1-1.png
21,10,3,/content/spectograms/3/100795-3-1-2.png
22,5,0,/content/spectograms/0/100852-0-0-0.png
23,5,0,/content/spectograms/0/100852-0-0-1.png
24,5,0,/content/spectograms/0/100852-0-0-10.png
25,5,0,/content/spectograms/0/100852-0-0-11.png
26,5,0,/content/spectograms/0/100852-0-0-12.png
27,5,0,/content/spectograms/0/100852-0-0-13.png
28,5,0,/content/spectograms/0/100852-0-0-14.png
29,5,0,/content/spectograms/0/100852-0-0-15.png
30,5,0,/content/spectograms/0/100852-0-0-16.png
31,5,0,/content/spectograms/0/100852-0-0-17.png
32,5,0,/content/spectograms/0/100852-0-0-18.png
33,5,0,/content/spectograms/0/100852-0-0-19.png
34,5,0,/content/spectograms/0/100852-0-0-2.png
35,5,0,/content/spectograms/0/100852-0-0-20.png
36,5,0,/content/spectograms/0/100852-0-0-21.png
37,5,0,/content/spectograms/0/100852-0-0-22.png
38,5,0,/content/spectograms/0/100852-0-0-23.png
39,5,0,/content/spectograms/0/100852-0-0-24.png
40,5,0,/content/spectograms/0/100852-0-0-25.png
41,5,0,/content/spectograms/0/100852-0-0-26.png
42,5,0,/content/spectograms/0/100852-0-0-27.png
43,5,0,/content/spectograms/0/100852-0-0-28.png
44,5,0,/content/spectograms/0/100852-0-0-29.png
45,5,0,/content/spectograms/0/100852-0-0-3.png
46,5,0,/content/spectograms/0/100852-0-0-30.png
47,5,0,/content/spectograms/0/100852-0-0-4.png
48,5,0,/content/spectograms/0/100852-0-0-5.png
49,5,0,/content/spectograms/0/100852-0-0-6.png
50,5,0,/content/spectograms/0/100852-0-0-7.png
51,5,0,/content/spectograms/0/100852-0-0-8.png
52,5,0,/content/spectograms/0/100852-0-0-9.png
53,6,3,/content/spectograms/3/101281-3-0-0.png
54,6,3,/content/spectograms/3/101281-3-0-14.png
55,6,3,/content/spectograms/3/101281-3-0-5.png
56,10,2,/content/spectograms/2/101382-2-0-10.png
57,10,2,/content/spectograms/2/101382-2-0-12.png
58,10,2,/content/spectograms/2/101382-2-0-20.png
59,10,2,/content/spectograms/2/101382-2-0-21.png
60,10,2,/content/spectograms/2/101382-2-0-29.png
